photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
28,2,2.145436598163375e+25,9.257032743e+24,0.0243813698664628,2,1.852210108138138e+25,9.257032743e+24,4.712160915387242e-08,-0.024381322744853648
29,2,1.991063717927433e+25,9.257032743e+24,0.006055127758578367,2,1.8522101081155646e+25,9.257032743e+24,3.942476676500724e-08,-0.006055088333811603
30,2,2.0547702640213077e+25,9.257032743e+24,0.013852795890829859,2,1.8522101079548486e+25,9.257032743e+24,3.6500241499888574e-08,-0.01385275939058836
31,2,1.996062613886679e+25,9.257032743e+24,0.0067175002396983804,2,1.8522101076408758e+25,9.257032743e+24,4.4703483581542975e-08,-0.006717455536214799
32,2,2.66255019920965e+25,9.257032743e+24,0.09688860172980975,2,1.8522101076000744e+25,9.257032743e+24,4.712160915387242e-08,-0.09688855460820059
33,2,2.662550199209666e+25,9.257032743e+24,0.09688860172983614,2,1.8522101078887052e+25,9.257032743e+24,3.942476676500724e-08,-0.09688856230506937
34,2,1.9960626138866793e+25,9.257032743e+24,0.006717500239714908,2,1.8522101081180498e+25,9.257032743e+24,3.6500241499888574e-08,-0.006717463739473408
35,2,2.054770264021308e+25,9.257032743e+24,0.013852795890829859,2,1.8522101082280334e+25,9.257032743e+24,3.332000937312528e-08,-0.013852762570820486
36,2,1.962477815798647e+25,9.257032743e+24,0.004190309694137525,2,1.852210108203551e+25,9.257032743e+24,2.9802322387695312e-08,-0.004190279891815137
37,2,2.007719164905949e+25,9.257032743e+24,0.01181889696290346,2,1.8522101080504728e+25,9.257032743e+24,3.332000937312528e-08,-0.011818863642894088
38,2,1.9661542535069177e+25,9.257032743e+24,0.005108615020874525,2,1.8522101077903655e+25,9.257032743e+24,3.942476676500724e-08,-0.00510857559610776
39,2,2.3193378827559854e+25,9.257032743e+24,0.055734899123474256,2,1.8522101077594995e+25,9.257032743e+24,3.6500241499888574e-08,-0.05573486262323275
40,2,2.3193378827559983e+25,9.257032743e+24,0.05573489912345432,2,1.8522101079662401e+25,9.257032743e+24,3.6500241499888574e-08,-0.05573486262321282
41,2,1.966154253506921e+25,9.257032743e+24,0.0051086150208310595,2,1.8522101081777993e+25,9.257032743e+24,2.9802322387695312e-08,-0.005108585218508672
42,2,2.007719164905951e+25,9.257032743e+24,0.01181889696290346,2,1.8522101082712958e+25,9.257032743e+24,2.580956827951785e-08,-0.011818871153335181
